tconst,title_type,primary_title,original_title,is_adult,year,runtime_minutes,genres,simple_title,average_rating,num_votes
tt0020356,movie,Sailor's Holiday,Sailor's Holiday,0,1929,58,Comedy,sailors holiday,5.4,56
tt0020823,movie,The Devil's Holiday,The Devil's Holiday,0,1930,80,"Drama,Romance",the devils holiday,6.0,246
tt0020985,movie,Holiday,Holiday,0,1930,91,"Comedy,Drama",holiday,6.3,646
tt0021268,movie,Holiday of St. Jorgen,Prazdnik svyatogo Yorgena,0,1930,83,Comedy,holiday of st jorgen,7.3,258
tt0021377,movie,Sin Takes a Holiday,Sin Takes a Holiday,0,1930,81,"Comedy,Romance",sin takes a holiday,6.1,745
tt0021381,movie,Sinners' Holiday,Sinners' Holiday,0,1930,60,"Adventure,Crime,Romance",sinners holiday,6.3,690
tt0023039,movie,Husband's Holiday,Husband's Holiday,0,1931,70,Drama,husbands holiday,6.5,29
tt0024869,movie,Beggar's Holiday,Beggar's Holiday,0,1934,60,"Crime,Drama,Romance",beggars holiday,5.6,15
tt0025006,movie,Cowboy Holiday,Cowboy Holiday,0,1934,56,Western,cowboy holiday,4.9,74
tt0025037,movie,Death Takes a Holiday,Death Takes a Holiday,0,1934,79,"Drama,Fantasy,Romance",death takes a holiday,6.9,2372
tt0027456,movie,College Holiday,College Holiday,0,1936,86,"Comedy,Musical,Romance",college holiday,5.7,193
tt0027923,movie,Mad Holiday,Mad Holiday,0,1936,71,"Comedy,Mystery,Romance",mad holiday,6.0,222
tt0028310,movie,Stolen Holiday,Stolen Holiday,0,1937,80,"Drama,Romance",stolen holiday,6.3,618
tt0028576,movie,Angel's Holiday,Angel's Holiday,0,1937,76,"Comedy,Crime,Mystery",angels holiday,6.5,34
tt0028763,movie,Dangerous Holiday,Dangerous Holiday,0,1937,58,Drama,dangerous holiday,5.8,58
tt0028843,movie,Every Day's a Holiday,Every Day's a Holiday,0,1937,79,"Comedy,Musical",every days a holiday,6.2,476
tt0029894,movie,Bank Holiday,Bank Holiday,0,1938,86,"Comedy,Drama",bank holiday,6.4,538
tt0029992,movie,A Christmas Carol,A Christmas Carol,0,1938,69,"Drama,Family,Fantasy",a christmas carol,7.5,8702
tt0030027,movie,Crime Takes a Holiday,Crime Takes a Holiday,0,1938,59,"Action,Crime,Drama",crime takes a holiday,6.4,26
tt0030241,movie,Holiday,Holiday,0,1938,95,"Comedy,Romance",holiday,7.7,17864
tt0030897,movie,Tropic Holiday,Tropic Holiday,0,1938,78,"Comedy,Music,Romance",tropic holiday,5.5,106
tt0031490,movie,Inspector Hornleigh on Holiday,Inspector Hornleigh on Holiday,0,1939,90,"Comedy,Crime,Drama",inspector hornleigh on holiday,6.8,234
tt0032338,movie,Christmas in July,Christmas in July,0,1940,67,"Comedy,Drama,Romance",christmas in july,7.4,4215
tt0034862,movie,Holiday Inn,Holiday Inn,0,1942,100,"Comedy,Drama,Music",holiday inn,7.3,17486
tt0036014,movie,Hoosier Holiday,Hoosier Holiday,0,1943,65,"Comedy,Music,Romance",hoosier holiday,6.7,18
tt0036711,movie,Christmas Holiday,Christmas Holiday,0,1944,93,"Crime,Drama,Film-Noir",christmas holiday,6.5,1628
tt0036988,movie,Knickerbocker Holiday,Knickerbocker Holiday,0,1944,85,"Comedy,History,Musical",knickerbocker holiday,5.3,197
tt0037242,movie,Sailor's Holiday,Sailor's Holiday,0,1944,60,"Comedy,Romance,War",sailors holiday,5.8,22
tt0037595,movie,Christmas in Connecticut,Christmas in Connecticut,0,1945,101,"Comedy,Romance",christmas in connecticut,7.3,11906
tt0038125,movie,Strange Holiday,Strange Holiday,0,1945,61,"Drama,Thriller",strange holiday,5.4,240
tt0038606,movie,Holiday in Mexico,Holiday in Mexico,0,1946,128,"Comedy,Musical,Romance",holiday in mexico,6.1,493
tt0038833,movie,Perilous Holiday,Perilous Holiday,0,1946,89,"Crime,Drama",perilous holiday,6.0,33
tt0039203,movie,Blondie's Holiday,Blondie's Holiday,0,1947,67,"Comedy,Family",blondies holiday,6.5,196
tt0039231,movie,Bush Christmas,Bush Christmas,0,1947,80,"Action,Adventure,Comedy",bush christmas,6.2,519
tt0039266,movie,Christmas Eve,Christmas Eve,0,1947,90,"Comedy,Drama",christmas eve,5.7,823
tt0039473,movie,Hoppy's Holiday,Hoppy's Holiday,0,1947,60,Western,hoppys holiday,6.5,150
tt0039562,movie,A Christmas Carol,Leyenda de Navidad,0,1947,80,"Drama,Fantasy",a christmas carol,5.5,33
tt0040443,movie,Holiday Camp,Holiday Camp,0,1947,93,"Adventure,Comedy,Crime",holiday camp,6.6,542
tt0040848,movie,Summer Holiday,Summer Holiday,0,1948,93,Musical,summer holiday,5.8,638
tt0041099,movie,Holidays in Hell,Agaza fel gahannam,0,1949,,,holidays in hell,5.8,20
tt0041473,movie,Holiday Affair,Holiday Affair,0,1949,87,"Comedy,Drama,Family",holiday affair,7.1,6964
tt0041475,movie,Holiday in Havana,Holiday in Havana,0,1949,73,"Comedy,Musical",holiday in havana,5.9,125
tt0041528,movie,Johnny Holiday,Johnny Holiday,0,1949,92,"Crime,Drama,Film-Noir",johnny holiday,7.3,104
tt0042568,movie,Holiday Rhythm,Holiday Rhythm,0,1950,60,Musical,holiday rhythm,6.5,35
tt0042665,movie,Last Holiday,Last Holiday,0,1950,88,"Drama,Romance",last holiday,7.3,2079
tt0044008,movie,A Christmas Carol,Scrooge,0,1951,86,"Drama,Family,Fantasy",a christmas carol,8.1,25549
tt0044708,movie,Holiday Week,Hindle Wakes,0,1952,82,"Drama,Romance",holiday week,6.1,207
tt0044715,movie,Holiday for Sinners,Holiday for Sinners,0,1952,72,Drama,holiday for sinners,5.9,184
tt0046250,movie,Roman Holiday,Roman Holiday,0,1953,118,"Comedy,Romance",roman holiday,8.0,145867
tt0046487,movie,Monsieur Hulot's Holiday,Les vacances de Monsieur Hulot,0,1953,114,Comedy,monsieur hulots holiday,7.3,19957
tt0047673,movie,White Christmas,White Christmas,0,1954,120,"Comedy,Musical,Romance",white christmas,7.6,50732
tt0047939,movie,Cinerama Holiday,Cinerama Holiday,0,1955,119,Documentary,cinerama holiday,7.3,142
tt0048104,movie,Holiday for Henrietta,La fête à Henriette,0,1952,118,Comedy,holiday for henrietta,7.4,391
tt0051147,movie,Holiday Island,Vacanze a Ischia,0,1957,105,"Comedy,Romance",holiday island,6.1,70
tt0051493,movie,Country Music Holiday,Country Music Holiday,0,1958,81,"Music,Romance",country music holiday,5.9,82
tt0052047,movie,Paris Holiday,Paris Holiday,0,1958,103,"Action,Comedy,Romance",paris holiday,5.7,514
tt0052284,movie,"At That Time, at Christmas...",Tenkrát o vánocích,0,1958,85,"Drama,War",at that time at christmas,6.5,20
tt0052897,movie,Holiday for Lovers,Holiday for Lovers,0,1959,103,Comedy,holiday for lovers,5.6,427
tt0054271,movie,Holiday in Spain,Scent of Mystery,0,1960,125,"Adventure,Crime,Mystery",holiday in spain,5.5,404
tt0056334,movie,Passion Holiday,Passion Holiday,0,1963,75,"Comedy,Drama",passion holiday,6.1,12
tt0057541,movie,Summer Holiday,Summer Holiday,0,1963,107,"Comedy,Musical,Romance",summer holiday,6.1,1820
tt0057637,movie,The Night Before Christmas,Vechera na khutore bliz Dikanki,0,1961,68,"Comedy,Fantasy,Romance",the night before christmas,7.5,2000
tt0057916,tvMovie,Carol for Another Christmas,Carol for Another Christmas,0,1964,84,"Drama,Fantasy",carol for another christmas,6.5,1408
tt0058197,movie,Holiday in St. Tropez,Holiday in St. Tropez,0,1964,96,Comedy,holiday in st tropez,5.7,37
tt0059004,movie,Every Day Is a Holiday,Cabriola,0,1965,90,"Comedy,Drama,Musical",every day is a holiday,5.3,71
