height-in-inches,team-code,weight-in-pounds,birth-country,height-in-centimeters,last-name,id,position-code,birth-city,headshot,first-name,season-id,birth-state-province,birth-date,weight-in-kilograms,sweater-number,shoots-catches,birth-year,birth-month
73,NYR,225,USA,185,Abel,8444855,D,Sault Ste. Marie,https://assets.nhle.com/mugs/nhl/19261927/NYR/8444855.png,Clarence,19261927,Michigan,1900-05-28,102,4,L,1900,MAY
66,NYR,165,CAN,168,Bourgeault,8445142,D,Sturgeon Falls,https://assets.nhle.com/mugs/nhl/19261927/NYR/8445142.png,Leo,19261927,Ontario,1903-01-17,75,12,L,1903,JANUARY
71,NYR,210,CAN,180,Johnson,8447098,D,Winnipeg,https://assets.nhle.com/mugs/nhl/19261927/NYR/8447098.png,Ivan,19261927,Manitoba,1898-12-07,95,3,L,1898,DECEMBER
67,NYR,155,CAN,170,Mackey,8447573,D,Ottawa,https://assets.nhle.com/mugs/nhl/19261927/NYR/8447573.png,Reg,19261927,Ontario,1900-05-07,70,2,L,1900,MAY
73,NYR,180,CAN,185,Patrick,8448095,D,Drummondville,https://assets.nhle.com/mugs/nhl/19261927/NYR/8448095.png,Lester,19261927,Quebec,1883-12-30,82,16,L,1883,DECEMBER
69,NYR,185,CAN,175,Boucher,8445134,C,Ottawa,https://assets.nhle.com/mugs/nhl/19261927/NYR/8445134.png,Frank,19261927,Ontario,1901-10-07,84,7,L,1901,OCTOBER
70,NYR,185,CAN,178,Boyd,8445148,R,Belleville,https://assets.nhle.com/mugs/nhl/19261927/NYR/8445148.png,Billy,19261927,Ontario,1898-05-15,84,8,R,1898,MAY
70,NYR,150,CAN,178,Brown,8445187,L,North Bay,https://assets.nhle.com/mugs/nhl/19261927/NYR/8445187.png,Stan,19261927,Ontario,1898-05-09,68,14,L,1898,MAY
70,NYR,170,CAN,178,Cook,8445529,R,Brantford,https://assets.nhle.com/mugs/nhl/19261927/NYR/8445529.png,Bill,19261927,Ontario,1896-10-09,77,5,R,1896,OCTOBER
71,NYR,180,CAN,180,Cook,8445535,L,Kingston,https://assets.nhle.com/mugs/nhl/19261927/NYR/8445535.png,Fred,19261927,Ontario,1903-09-18,82,6,L,1903,SEPTEMBER
70,NYR,180,CAN,178,Murdoch,8447913,L,Lucknow,https://assets.nhle.com/mugs/nhl/19261927/NYR/8447913.png,Murray,19261927,Ontario,1904-05-19,82,9,L,1904,MAY
70,NYR,160,CAN,178,Reinikka,8448314,C,Shuswap,https://assets.nhle.com/mugs/nhl/19261927/NYR/8448314.png,Ollie,19261927,British Columbia,1901-08-02,73,11,R,1901,AUGUST
71,NYR,180,CAN,180,Thompson,8449232,L,Calgary,https://assets.nhle.com/mugs/nhl/19261927/NYR/8449232.png,Paul,19261927,Alberta,1906-11-02,82,10,L,1906,NOVEMBER
73,NYR,185,CAN,185,Chabot,8449850,G,Montréal,https://assets.nhle.com/mugs/nhl/19261927/NYR/8449850.png,Lorne,19261927,Quebec,1900-10-05,84,1,L,1900,OCTOBER
68,NYR,150,CAN,173,Winkler,8450150,G,Gretna,https://assets.nhle.com/mugs/nhl/19261927/NYR/8450150.png,Hal,19261927,Manitoba,1892-03-20,68,1,L,1892,MARCH
66,NYR,175,CAN,168,Callighen,8445311,D,Toronto,https://assets.nhle.com/mugs/nhl/19271928/NYR/8445311.png,Frank,19271928,Ontario,1906-02-13,79,14,L,1906,FEBRUARY
70,NYR,170,GBR,178,Gray,8446641,R,Glasgow,https://assets.nhle.com/mugs/nhl/19271928/NYR/8446641.png,Alex,19271928,,1899-06-21,77,2,R,1899,JUNE
66,NYR,155,CAN,168,Scott,8448949,L,South River,https://assets.nhle.com/mugs/nhl/19271928/NYR/8448949.png,Laurie,19271928,Ontario,1900-06-19,70,11,L,1900,JUNE
69,NYR,170,CAN,175,Miller,8450043,G,Morrisburg,https://assets.nhle.com/mugs/nhl/19271928/NYR/8450043.png,Joe,19271928,Ontario,1900-10-06,77,1,L,1900,OCTOBER
70,NYR,175,CAN,178,Carson,8445347,D,Parry Sound,https://assets.nhle.com/mugs/nhl/19281929/NYR/8445347.png,Gerry,19281929,Ontario,1905-10-10,79,15,L,1905,OCTOBER
72,NYR,180,USA,183,Lane,8447318,D,Melrose,https://assets.nhle.com/mugs/nhl/19281929/NYR/8447318.png,Myles,19281929,Massachusetts,1905-10-02,82,12,L,1905,OCTOBER
72,NYR,185,CAN,183,Vail,8449292,D,Meaford,https://assets.nhle.com/mugs/nhl/19281929/NYR/8449292.png,Sparky,19281929,Ontario,1906-07-05,84,11,L,1906,JULY
71,NYR,180,CAN,180,Keeling,8447144,L,Owen Sound,https://assets.nhle.com/mugs/nhl/19281929/NYR/8447144.png,Butch,19281929,Ontario,1905-08-10,82,10,L,1905,AUGUST
70,NYR,195,CAN,178,Oatman,8448039,L,Tillsonburg,https://assets.nhle.com/mugs/nhl/19281929/NYR/8448039.png,Russell,19281929,Ontario,1905-02-19,88,14,L,1905,FEBRUARY
65,NYR,130,CAN,165,Roach,8450103,G,Port Perry,https://assets.nhle.com/mugs/nhl/19281929/NYR/8450103.png,John Ross,19281929,Ontario,1900-06-23,59,1,L,1900,JUNE
78,NYR,198,CAN,198,Foster,8446458,D,Guelph,https://assets.nhle.com/mugs/nhl/19291930/NYR/8446458.png,Harry,19291930,Ontario,1907-11-25,90,4,L,1907,NOVEMBER
73,NYR,190,CAN,185,Regan,8448298,D,Creighton Mines,https://assets.nhle.com/mugs/nhl/19291930/NYR/8448298.png,Bill,19291930,Ontario,1908-12-11,86,11,L,1908,DECEMBER
71,NYR,175,CAN,180,Reise,8448315,D,Pembroke,https://assets.nhle.com/mugs/nhl/19291930/NYR/8448315.png,Leo,19291930,Ontario,1892-06-01,79,3,R,1892,JUNE
69,NYR,180,CAN,175,Taylor,8449220,D,Toronto,https://assets.nhle.com/mugs/nhl/19291930/NYR/8449220.png,Ralph,19291930,Ontario,1905-10-02,82,12,R,1905,OCTOBER
72,NYR,165,USA,183,Goldsworthy,8446607,R,Two Harbors,https://assets.nhle.com/mugs/nhl/19291930/NYR/8446607.png,Leroy,19291930,Minnesota,1906-10-18,75,14,R,1906,OCTOBER
67,NYR,159,CAN,170,Heximer,8446843,L,Niagara Falls,https://assets.nhle.com/mugs/nhl/19291930/NYR/8446843.png,Orville,19291930,Ontario,1910-02-16,72,15,L,1910,FEBRUARY
70,NYR,170,CAN,178,Quenneville,8448237,R,St-Anicet,https://assets.nhle.com/mugs/nhl/19291930/NYR/8448237.png,Leo,19291930,Quebec,1900-06-15,77,12,L,1900,JUNE
74,NYR,185,POL,188,Jerwa,8447056,D,Warsaw,https://assets.nhle.com/mugs/nhl/19301931/NYR/8447056.png,Joe,19301931,,1907-01-20,84,2,L,1907,JANUARY
74,NYR,195,CAN,188,Kenny,8447167,D,Vermilion,https://assets.nhle.com/mugs/nhl/19301931/NYR/8447167.png,Ernest,19301931,Alberta,1907-08-20,88,16,L,1907,AUGUST
71,NYR,160,USA,180,Peters,8448134,D,Rouses Point,https://assets.nhle.com/mugs/nhl/19301931/NYR/8448134.png,Frank,19301931,New York,1905-06-05,73,4,R,1905,JUNE
73,NYR,200,CAN,185,Carrigan,8445334,C,Edmonton,https://assets.nhle.com/mugs/nhl/19301931/NYR/8445334.png,Gene,19301931,Alberta,1907-07-05,91,14,L,1907,JULY
71,NYR,173,USA,180,Dillon,8445908,R,Toledo,https://assets.nhle.com/mugs/nhl/19301931/NYR/8445908.png,Cecil,19301931,Ohio,1908-04-26,78,8,L,1908,APRIL
71,NYR,195,CAN,180,Maracle,8447607,L,Ayr,https://assets.nhle.com/mugs/nhl/19301931/NYR/8447607.png,Bud,19301931,Ontario,1904-09-08,88,14,L,1904,SEPTEMBER
68,NYR,175,GBR,173,McAdam,8447646,L,Sterling,https://assets.nhle.com/mugs/nhl/19301931/NYR/8447646.png,Sam,19301931,,1908-05-31,79,12,L,1908,MAY
67,NYR,150,CAN,170,Rodden,8448429,C,Mattawa,https://assets.nhle.com/mugs/nhl/19301931/NYR/8448429.png,Eddie,19301931,Ontario,1901-03-22,68,12,R,1901,MARCH
71,NYR,150,CAN,180,Waite,8449309,C,Fort Qu'Appelle,https://assets.nhle.com/mugs/nhl/19301931/NYR/8449309.png,Deacon,19301931,Saskatchewan,1905-04-09,68,15,L,1905,APRIL
71,NYR,180,CAN,180,Brennan,8445157,D,Peterborough,https://assets.nhle.com/mugs/nhl/19311932/NYR/8445157.png,Doug,19311932,Ontario,1905-01-10,82,15,L,1905,JANUARY
72,NYR,190,CAN,183,Heller,8446766,D,Berlin,https://assets.nhle.com/mugs/nhl/19311932/NYR/8446766.png,Ott,19311932,Ontario,1910-06-02,86,3,R,1910,JUNE
74,NYR,198,CAN,188,Seibert,8448951,D,Berlin,https://assets.nhle.com/mugs/nhl/19311932/NYR/8448951.png,Earl,19311932,Ontario,1911-12-07,90,2,R,1911,DECEMBER
69,NYR,160,USA,175,Desjardins,8445885,C,Sault Ste. Marie,https://assets.nhle.com/mugs/nhl/19311932/NYR/8445885.png,Vic,19311932,Michigan,1900-07-04,73,11,R,1900,JULY
73,NYR,170,CAN,185,Gainor,8446557,C,Calgary,https://assets.nhle.com/mugs/nhl/19311932/NYR/8446557.png,Dutch,19311932,Alberta,1904-04-10,77,8,L,1904,APRIL
71,NYR,165,CAN,180,Milks,8447859,L,Eardley,https://assets.nhle.com/mugs/nhl/19311932/NYR/8447859.png,Hib,19311932,Quebec,1899-04-01,75,4,L,1899,APRIL
65,NYR,167,CAN,165,Somers,8449126,L,Winnipeg,https://assets.nhle.com/mugs/nhl/19311932/NYR/8449126.png,Art,19311932,Manitoba,1902-01-19,76,12,L,1902,JANUARY
71,NYR,170,CAN,180,Asmundson,8444982,C,Red Deer,https://assets.nhle.com/mugs/nhl/19321933/NYR/8444982.png,Ossie,19321933,Alberta,1908-11-17,77,16,R,1908,NOVEMBER
72,NYR,175,GBR,183,Pettinger,8448139,C,Harrogate,https://assets.nhle.com/mugs/nhl/19321933/NYR/8448139.png,Gord,19321933,,1911-11-11,79,11,L,1911,NOVEMBER
70,NYR,182,CAN,178,Siebert,8449038,L,Plattsville,https://assets.nhle.com/mugs/nhl/19321933/NYR/8449038.png,Babe,19321933,Ontario,1904-01-14,83,4,L,1904,JANUARY
69,NYR,168,USA,175,Voss,8449308,C,Chelsea,https://assets.nhle.com/mugs/nhl/19321933/NYR/8449308.png,Carl,19321933,Massachusetts,1907-01-06,76,11,L,1907,JANUARY
69,NYR,145,GBR,175,Aitkenhead,8449787,G,Glasgow,https://assets.nhle.com/mugs/nhl/19321933/NYR/8449787.png,Andy,19321933,,1904-03-06,66,1,L,1904,MARCH
70,NYR,185,CAN,178,Dukowski,8445968,D,Regina,https://assets.nhle.com/mugs/nhl/19331934/NYR/8445968.png,Duke,19331934,Saskatchewan,1902-08-30,84,18,L,1902,AUGUST
69,NYR,180,CAN,175,Leduc,8447371,D,Valleyfield,https://assets.nhle.com/mugs/nhl/19331934/NYR/8447371.png,Albert,19331934,Quebec,1902-11-22,82,18,R,1902,NOVEMBER
72,NYR,205,CAN,183,Pusie,8448233,D,Montréal,https://assets.nhle.com/mugs/nhl/19331934/NYR/8448233.png,Jean,19331934,Quebec,1910-10-15,93,17,L,1910,OCTOBER
68,NYR,161,CAN,173,Carr,8445333,R,Stoughton,https://assets.nhle.com/mugs/nhl/19331934/NYR/8445333.png,Lorne,19331934,Saskatchewan,1910-07-02,73,11,R,1910,JULY
70,NYR,180,CAN,178,Cox,8445762,L,Little Current,https://assets.nhle.com/mugs/nhl/19331934/NYR/8445762.png,Danny,19331934,Ontario,1903-10-12,82,18,L,1903,OCTOBER
68,NYR,170,CAN,173,Ripley,8448334,L,Elgin,https://assets.nhle.com/mugs/nhl/19331934/NYR/8448334.png,Vic,19331934,Ontario,1906-05-30,77,4,L,1906,MAY
70,NYR,184,USA,178,Levinsky,8447473,D,Syracuse,https://assets.nhle.com/mugs/nhl/19341935/NYR/8447473.png,Alex,19341935,New York,1910-02-02,83,11,R,1910,FEBRUARY
71,NYR,175,CAN,180,MacKenzie,8447560,D,Winnipeg,https://assets.nhle.com/mugs/nhl/19341935/NYR/8447560.png,Bill,19341935,Manitoba,1911-12-12,79,11,R,1911,DECEMBER
71,NYR,176,CAN,180,Starr,8449160,D,Ottawa,https://assets.nhle.com/mugs/nhl/19341935/NYR/8449160.png,Harold,19341935,Ontario,1906-07-06,80,4,L,1906,JULY
71,NYR,174,CAN,180,Connelly,8445523,L,Montréal,https://assets.nhle.com/mugs/nhl/19341935/NYR/8445523.png,Bert,19341935,Quebec,1909-04-22,79,15,L,1909,APRIL
70,NYR,160,CAN,178,Mason,8447633,R,Seaforth,https://assets.nhle.com/mugs/nhl/19341935/NYR/8447633.png,Charlie,19341935,Ontario,1912-02-01,73,16,R,1912,FEBRUARY
73,NYR,192,CAN,185,Patrick,8448096,L,Victoria,https://assets.nhle.com/mugs/nhl/19341935/NYR/8448096.png,Lynn,19341935,British Columbia,1912-02-03,87,9,L,1912,FEBRUARY
69,NYR,165,CAN,175,Jackson,8450003,G,Canmore,https://assets.nhle.com/mugs/nhl/19341935/NYR/8450003.png,Percy,19341935,Alberta,1907-09-21,75,1,L,1907,SEPTEMBER
70,NYR,160,CAN,178,Kerr,8450009,G,Toronto,https://assets.nhle.com/mugs/nhl/19341935/NYR/8450009.png,Dave,19341935,Ontario,1910-01-11,73,1,R,1910,JANUARY
74,NYR,220,CAN,188,Ayres,8444989,D,Toronto,https://assets.nhle.com/mugs/nhl/19351936/NYR/8444989.png,Vern,19351936,Ontario,1909-04-27,100,2,L,1909,APRIL
74,NYR,200,CAN,188,Cooper,8445543,D,Winnipeg,https://assets.nhle.com/mugs/nhl/19351936/NYR/8445543.png,Joe,19351936,Manitoba,1914-12-14,91,12,R,1914,DECEMBER
71,NYR,185,CAN,180,Coulter,8445742,D,Winnipeg,https://assets.nhle.com/mugs/nhl/19351936/NYR/8445742.png,Art,19351936,Manitoba,1909-05-31,84,2,R,1909,MAY
75,NYR,212,CAN,191,Pratt,8448187,D,Stony Mountain,https://assets.nhle.com/mugs/nhl/19351936/NYR/8448187.png,Babe,19351936,Manitoba,1916-01-07,96,11,L,1916,JANUARY
70,NYR,170,CAN,178,Brydson,8445233,R,Swansea,https://assets.nhle.com/mugs/nhl/19351936/NYR/8445233.png,Glenn,19351936,Ontario,1910-11-07,77,12,R,1910,NOVEMBER
69,NYR,175,CAN,175,Colville,8445508,R,Edmonton,https://assets.nhle.com/mugs/nhl/19351936/NYR/8445508.png,Mac,19351936,Alberta,1916-01-08,79,5,R,1916,JANUARY
71,NYR,175,CAN,180,Colville,8445509,C,Edmonton,https://assets.nhle.com/mugs/nhl/19351936/NYR/8445509.png,Neil,19351936,Alberta,1914-08-04,79,6,R,1914,AUGUST
69,NYR,165,CAN,175,Morenz,8447888,C,Mitchell,https://assets.nhle.com/mugs/nhl/19351936/NYR/8447888.png,Howie,19351936,Ontario,1902-09-21,75,12,L,1902,SEPTEMBER
72,NYR,180,CAN,183,Shibicky,8449018,L,Winnipeg,https://assets.nhle.com/mugs/nhl/19351936/NYR/8449018.png,Alex,19351936,Manitoba,1914-05-19,82,4,R,1914,MAY
71,NYR,165,CAN,180,Watson,8449372,C,Montréal,https://assets.nhle.com/mugs/nhl/19351936/NYR/8449372.png,Phil,19351936,Quebec,1914-04-24,75,7,R,1914,APRIL
71,NYR,160,CAN,180,Gardiner,8449960,G,Saskatoon,https://assets.nhle.com/mugs/nhl/19351936/NYR/8449960.png,Bert,19351936,Saskatchewan,1913-03-25,73,1,L,1913,MARCH
70,NYR,180,CAN,178,Hextall,8446850,R,Grenfell,https://assets.nhle.com/mugs/nhl/19361937/NYR/8446850.png,Bryan,19361937,Saskatchewan,1913-07-31,82,12,L,1913,JULY
71,NYR,173,CAN,180,Krol,8447235,L,Winnipeg,https://assets.nhle.com/mugs/nhl/19361937/NYR/8447235.png,Joe,19361937,Manitoba,1915-08-13,78,12,L,1915,AUGUST
68,NYR,165,CAN,173,Smith,8449068,C,Assiniboia,https://assets.nhle.com/mugs/nhl/19361937/NYR/8449068.png,Clint,19361937,Saskatchewan,1913-12-12,75,10,L,1913,DECEMBER
71,NYR,182,CAN,180,Wares,8449359,R,Calgary,https://assets.nhle.com/mugs/nhl/19361937/NYR/8449359.png,Eddie,19361937,Alberta,1915-03-19,83,19,R,1915,MARCH
