description,slug,latitude,longitude,isGroundhog,name,city,type,source,region,active,id,shortname,image,currentPrediction,predictionsCount,country
"Punxsutawney Phil is a superstar prognosticating groundhog from Punxsutawney, Pennsylvania. He makes his predictions from his burrow on Gobler’s Knob. According to legend, Phil has made weather prognostications since 1886, owing his improbably long life to the miraculous “groundhog nog” administered at the annual Groundhog Picnic.",punxsutawney-phil,40.9311988,-78.9622483,true,Punxsutawney Phil,Punxsutawney,Groundhog,https://www.groundhog.org/history-past-predictions,Pennsylvania,true,1,Phil,https://groundhog-day.com/images/ghogs/punxsutawney-phil.jpeg,https://www.npr.org/2024/02/02/1228547493/groundhog-day-punxsutawney-phil-spring,129,USA
"Octoraro Orphie, from Quarryville Pennsylvania, is a taxidermied world-renowned weather prognosticator and “One True Groundhog.” Other so-called groundhogs draw more celebrity endorsements, but Orphie is not distracted by the worldly pursuits of fame and fortune (at least partially due to his being stuffed and mounted). He is a sharp dresser, often spotted in his dapper top hat and bow tie.",octoraro-orphie,39.8255413,-76.0919567,false,Octoraro Orphie,Quarryville,Taxidermied groundhog,http://home.ptd.net/\%7Emsvitale/index.html,Pennsylvania,true,2,Orphie,https://groundhog-day.com/images/ghogs/octoraro-orphie.jpeg,https://www.fox43.com/article/news/local/groundhog-day-2024-central-pa-groundhog-predicitons/521-6fa49654-18d6-497f-a30a-5b337d98963e,92,USA
"Wiarton Wille is Canada’s most famous prognosticating groundhog, from the town of Wiarton, Ontario. Willie is a white groundhog whose coming was foretold as one who would forever alter the world of weather prognostication. Every February 2nd, Willie announces his prediction in Groundhogese to The Mayor of the Land and of the Marmot, the only person who can speak Groundhogese.",wiarton-willie,44.7438686,-81.1386838,true,Wiarton Willie,Wiarton,Groundhog,https://www.southbrucepeninsula.com/en/explore-and-play/wiarton-willie.aspx#Past-predictions,Ontario,true,3,Willie,https://groundhog-day.com/images/ghogs/wiarton-willie.jpeg,https://www.owensoundsuntimes.com/news/wiarton-willie-says-early-spring,61,Canada
"Jimmy the Groundhog is based in Sun Prairie, Wisconsin, the proclaimed “World Headquarters of the Groundhog.” His annual emergence from the ground on February 2nd foretells the coming of spring. Jimmy has an extremely high accuracy rate on his annual predictions, making him an outstanding leader in meteorological circles. He occasionally bites mayors’ ears.",jimmy-the-groundhog,43.1826322,-89.2143204,true,Jimmy the Groundhog,Sun Prairie,Groundhog,https://www.cityofsunprairie.com/840/Groundhog-Day,Wisconsin,true,4,Jimmy,https://groundhog-day.com/images/ghogs/jimmy-the-groundhog.jpeg,https://www.marshfieldnewsherald.com/story/news/local/2024/02/02/groundhog-day-2024-see-what-sun-prairie-jimmy-predicted-this-year/72358190007/,56,USA
"Concord Charlie is a presumed groundhog from Athens, West Virginia. In a tradition dating back to 1978, Charlie meets with the President of Concord University and relays his predictions regarding the duration of winter. The President then joins a slew of guests at the University’s annual Groundhog Day Breakfast and shares Charlie’s predictions. Notably, Charlie has never been seen by anyone except the President and presumably other university staff; we believe him to be a groundhog based on these few eyewitness accounts.",concord-charlie,37.4245956,-81.0095902,false,Concord Charlie,Athens,Presumed groundhog,https://www.concord.edu/?s=concord+charlie,West Virginia,true,5,Charlie,https://groundhog-day.com/images/ghogs/concord-charlie.jpeg,https://www.lootpress.com/concord-charlie-predicts-early-spring-lori-mckinney-honored/,46,USA
"Buckeye Chuck is a weather-predicting groundhog in Marion, Ohio. In 1979, the Ohio legislature named Chuck the official groundhog for the Ohio state. Buckeye Chuck lives a comfortable, celebrity lifestyle — only working one day a year — but he doesn’t let the fame get to his head.",buckeye-chuck,40.6141291,-83.1321507,true,Buckeye Chuck,Marion,Groundhog,https://en.wikipedia.org/wiki/Buckeye_Chuck#Past_predictions,Ohio,true,6,Chuck,https://groundhog-day.com/images/ghogs/buckeye-chuck.jpeg,https://twitter.com/OHBuckeyeChuck/status/1753399048114000163,41,USA
"General Beauregard Lee is Georgia’s Official Weather Prognosticator, considered the principal prognosticator for the southern USA. General Beau lives comfortably in his groundhog-sized mansion known as Weathering Heights, where he enjoys naps, digging tunnels, and hashbrowns.",general-beauregard-lee,33.233898,-83.9466163,true,General Beauregard Lee,Jackson,Groundhog,https://twitter.com/genbeaulee,Georgia,true,7,Beau,https://groundhog-day.com/images/ghogs/general-beauregard-lee.jpeg,https://www.usatoday.com/story/news/nation/2024/02/02/georgia-groundhog-day-2024-general-beauregard-lee/72421046007/,41,USA
"French Creek Freddie is a weather-predicting groundhog from Upshur County, West Virginia. Unlike his unseen state compatriot Concord Charlie, French Creek Freddie is a visible groundhog, who issues predictions annually from his home at the West Virginia State Wildlife Center.",french-creek-freddie,38.8573662,-80.3149827,true,French Creek Freddie,Upshur County,Groundhog,https://wvdnr.gov/french-creek-freddie-facts-to-get-you-ready-for-groundhog-day/,West Virginia,true,8,Freddie,https://groundhog-day.com/images/ghogs/french-creek-freddie.jpeg,https://www.wdtv.com/2024/02/02/french-creek-freddie-predicts-an-early-spring-2024/,36,USA
"Gertie the Groundhog is a celebrated meteorologist from Wildlife Prairie State Park, Illinois. Since 1993, Gertie has been predicting the weather on February 2nd from her wildlife chalet, inspiring local musician Barry Cloyd to write the original, hit song “Wake-Up Gertie.”",gertie-the-groundhog,40.732973,-89.7383042,true,Gertie the Groundhog,Hanna City,Groundhog,https://www.facebook.com/wildlifeprairiepark,Illinois,true,9,Gertie,https://groundhog-day.com/images/ghogs/gertie-the-groundhog.jpeg,https://www.facebook.com/wildlifeprairiepark/posts/pfbid02RskCk58rahydDY4Fm3mzuuEjrj8TH1KaYUnD5Aj3nZ82NjsJsCD4h2m49odjrC8Ul,31,USA
"Dunkirk Dave, from Dunkirk, New York, is the second longest prognosticating groundhog in the world, second only to Punxsutawney Phil. His owner, Bob Will, has been handling and helping groundhogs and other wildlife since he was a child, making Will and Dave the perfect pairing. Dave loves breakfasting on cooked oatmeal.",dunkirk-dave,42.4609398,-79.3944887,true,Dunkirk Dave,Dunkirk,Groundhog,https://www.dunkirkdave.com,New York,true,10,Dave,https://groundhog-day.com/images/ghogs/dunkirk-dave.jpeg,https://twitter.com/news4buffalo/status/1753410470768222329,29,USA
"Groundhog Day with Malverne Mel is a tradition more than 2 decades old in Malverne, New York. Not happy with only predicting the weather, Mel is an art connoisseur and also hosts a poster contest. Mel is also a huge fan of the Bill Murray movie, “Groundhog Day.”",malverne-mel,40.6793192,-73.6665466,true,Malverne Mel,Malverne,Groundhog,https://www.facebook.com/crossroadsfarmatgrossmanns,New York,true,11,Malverne Mel,https://groundhog-day.com/images/ghogs/malverne-mel.jpeg,https://www.newsday.com/long-island/groundhog-day-results-h400plsm,29,USA
"Staten Island Chuck — also known as Charles G. Hogg — is a resident groundhog at Staten Island Zoo in New York City. He is one of the most accurate groundhogs, with an 85% accuracy rate. Chuck bit the hand of Mayor Michael Bloomberg and was subsequently the victim of an alleged manslaughter by succeeding Mayor Bill De Blasio.",staten-island-chuck,40.6251281,-74.1175587,true,Staten Island Chuck,New York City,Groundhog,https://en.wikipedia.org/wiki/Staten_Island_Chuck#Past_predictions,New York,true,12,Chuck,https://groundhog-day.com/images/ghogs/staten-island-chuck.jpeg,https://nypost.com/2024/02/02/news/staten-island-chuck-is-ready-for-spring/,29,USA
"Lander Lil, a bronze statue of a prairie dog, has been predicting the future of winter weather for Wyoming since 1984. There really was a real Lander Lil before the installation of a larger-than-life bronze statue, which stands lookout from her perch on the grounds of the local Post Office.",lander-lil,42.830629,-108.722943,false,Lander Lil,Lander,Statue of a prairie dog,https://www.facebook.com/BLMWyoming,Wyoming,true,13,Lil,https://groundhog-day.com/images/ghogs/lander-lil.jpeg,https://cowboystatedaily.com/2024/02/02/lander-lil-doesnt-see-her-shadow-but-winter-is-going-to-wallop-wyoming-anyway/,27,USA
"Groundhog puppet Manitoba Merv has been predicting the arrival of spring at the Oak Hammock Marsh Interpretive Centre for about 25 years. Merv is a puppet — technically a golf club cover — which is a bonus, because he lives forever and doesn’t need to be awakened from hibernation for a prediction. Merv began his storied career as an actor in puppet shows, but has since evolved into a Manitoba legend with a near flawless prediction rate.",manitoba-merv,50.1738294,-97.1351477,false,Manitoba Merv,Stonewall,Groundhog golf club cover,https://twitter.com/OakHammockMarsh,Manitoba,true,14,Merv,https://groundhog-day.com/images/ghogs/manitoba-merv.jpeg,https://twitter.com/OakHammockMarsh/status/1753420005796974930,27,Canada
