tconst,title_type,primary_title,original_title,is_adult,year,runtime_minutes,genres,simple_title,average_rating,num_votes
tt0107688,movie,The Nightmare Before Christmas,The Nightmare Before Christmas,0,1993,76,"Animation,Family,Fantasy",the nightmare before christmas,7.9,371205
tt0457939,movie,The Holiday,The Holiday,0,2006,136,"Comedy,Romance",the holiday,6.9,318308
tt0170016,movie,How the Grinch Stole Christmas,How the Grinch Stole Christmas,0,2000,104,"Comedy,Family,Fantasy",how the grinch stole christmas,6.3,288171
tt0097958,movie,National Lampoon's Christmas Vacation,National Lampoon's Christmas Vacation,0,1989,97,Comedy,national lampoons christmas vacation,7.5,218509
tt0085334,movie,A Christmas Story,A Christmas Story,0,1983,93,"Comedy,Family",a christmas story,7.9,167800
tt0046250,movie,Roman Holiday,Roman Holiday,0,1953,118,"Comedy,Romance",roman holiday,8.0,145883
tt0453451,movie,Mr. Bean's Holiday,Mr. Bean's Holiday,0,2007,90,"Comedy,Family",mr beans holiday,6.4,132798
tt1067106,movie,A Christmas Carol,A Christmas Carol,0,2009,96,"Adventure,Animation,Comedy",a christmas carol,6.8,128289
tt8623904,movie,Last Christmas,Last Christmas,0,2019,103,"Comedy,Drama,Fantasy",last christmas,6.5,89505
tt1711525,movie,Office Christmas Party,Office Christmas Party,0,2016,105,Comedy,office christmas party,5.9,87573
tt2990140,movie,The Christmas Chronicles,The Christmas Chronicles,0,2018,104,"Adventure,Comedy,Family",the christmas chronicles,7.0,82911
tt0369436,movie,Four Christmases,Four Christmases,0,2008,88,"Comedy,Drama,Romance",four christmases,5.7,80379
tt1268799,movie,A Very Harold & Kumar Christmas,A Very Harold & Kumar 3D Christmas,0,2011,90,"Adventure,Comedy",a very harold  kumar christmas,6.2,72380
tt0104940,movie,The Muppet Christmas Carol,The Muppet Christmas Carol,0,1992,85,"Comedy,Drama,Family",the muppet christmas carol,7.8,70049
tt1430607,movie,Arthur Christmas,Arthur Christmas,0,2011,97,"Adventure,Animation,Comedy",arthur christmas,7.1,66603
tt0060345,tvMovie,How the Grinch Stole Christmas!,How the Grinch Stole Christmas!,0,1966,26,"Animation,Comedy,Family",how the grinch stole christmas,8.3,58450
tt0388419,movie,Christmas with the Kranks,Christmas with the Kranks,0,2004,99,"Comedy,Family",christmas with the kranks,5.5,57182
tt6359956,movie,A Bad Moms Christmas,A Bad Moms Christmas,0,2017,104,Comedy,a bad moms christmas,5.6,57175
tt0047673,movie,White Christmas,White Christmas,0,1954,120,"Comedy,Musical,Romance",white christmas,7.6,50751
tt0071222,movie,Black Christmas,Black Christmas,0,1974,98,"Horror,Mystery,Thriller",black christmas,7.1,47657
