month,country-births,country-pct,player-births,player-pct,expected-births-pct
January,941370,0.08015265420682019,542,0.09914029632339491,0.08493150684931507
February,886150,0.0754509645786181,533,0.09749405524053412,0.07671232876712329
March,995978,0.08480223528644461,513,0.09383574172306566,0.08493150684931507
April,983363,0.08372813505718402,526,0.09621364550942016,0.0821917808219178
May,1029538,0.08765969098949536,520,0.09511615145417962,0.08493150684931507
June,1001064,0.08523528116563758,463,0.08468995792939454,0.0821917808219178
July,1042392,0.08875414079900115,437,0.07993415035668557,0.08493150684931507
August,1024021,0.08718994775011124,394,0.0720687762941284,0.08493150684931507
September,1019490,0.0868041571723245,421,0.07700749954271081,0.0821917808219178
October,982729,0.08367415332548753,383,0.07005670385952076,0.08493150684931507
November,918434,0.07819977566077813,374,0.06841046277665996,0.0821917808219178
December,920185,0.0783488640080976,361,0.06603255899030547,0.08493150684931507
