election_date,state,count
2020-11-03,AL,2075
2012-11-06,AK,396
2014-11-04,AK,396
2016-11-08,AK,396
2018-11-06,AK,396
2020-11-03,AK,441
2012-11-06,AR,2536
2014-11-04,AR,2972
2018-11-06,AR,8980
2020-11-03,AR,967
2020-11-03,CA,3832
2012-11-06,CT,773
2014-11-04,CT,790
2016-11-08,CT,786
2018-11-06,CT,786
2020-11-03,CT,747
2012-11-06,DE,432
2014-11-04,DE,431
2016-11-08,DE,429
2018-11-06,DE,434
2020-11-03,DE,434
2016-11-08,GA,2696
2018-11-06,GA,2655
2020-11-03,GA,2678
2012-11-06,IL,11827
2014-11-04,IL,10085
2016-11-08,IL,10185
2018-11-06,IL,10123
2020-11-03,IL,10013
2012-11-06,IN,3725
2014-11-04,IN,2735
2016-11-08,IN,3240
2018-11-06,IN,3024
2020-11-03,IN,1944
2012-11-06,IA,1688
2014-11-04,IA,1682
2016-11-08,IA,1681
2018-11-06,IA,1680
2020-11-03,IA,1681
2012-11-06,KY,3632
2014-11-04,KY,3715
2016-11-08,KY,3731
2018-11-06,KY,3718
2012-11-06,LA,4269
2014-11-04,LA,4020
2016-11-08,LA,3906
2018-11-06,LA,3910
2020-11-03,LA,3934
2012-11-06,ME,580
2014-11-04,ME,544
2016-11-08,ME,610
2018-11-06,ME,617
2020-11-03,ME,630
2012-11-06,MD,1934
2014-11-04,MD,2089
2016-11-08,MD,2093
2018-11-06,MD,2092
2020-11-03,MD,321
2012-11-06,MA,2175
2014-11-04,MA,2175
2016-11-08,MA,2175
2018-11-06,MA,2174
2020-11-03,MA,2173
2012-11-06,MI,4850
2014-11-04,MI,4827
2020-11-03,MI,4750
2014-11-04,MN,4006
2016-11-08,MN,6451
2018-11-06,MN,4967
2020-11-03,MN,3546
2012-11-06,MS,1829
2014-11-04,MS,1819
2016-11-08,MS,1578
2018-11-06,MS,1741
2020-11-03,MO,14354
2012-11-06,MT,793
2014-11-04,MT,693
2016-11-08,MT,688
2018-11-06,MT,671
2020-11-03,MT,674
2012-11-06,NE,1143
2014-11-04,NE,1173
2016-11-08,NE,1216
2018-11-06,NE,1212
2020-11-03,NE,982
2020-11-03,NV,772
2012-11-06,NH,312
2014-11-04,NH,319
2016-02-09,NH,316
2016-09-13,NH,316
2018-11-06,NH,334
2020-11-03,NH,339
2012-11-06,NJ,6287
2014-11-04,NJ,6327
2016-11-08,NJ,6332
2018-11-06,NJ,6344
2014-11-04,NM,429
2016-11-08,NM,466
2018-11-06,NM,544
2020-11-03,NM,537
2012-11-06,NC,2756
2014-11-04,NC,2726
2016-11-08,NC,2704
2018-11-06,NC,2706
2020-11-03,NC,2662
2012-11-06,ND,416
2014-11-04,ND,402
2016-11-08,ND,688
2018-11-06,ND,521
2020-11-03,ND,663
2012-11-06,OH,9318
2014-11-04,OH,9157
2016-11-08,OH,8887
2018-11-06,OH,8904
2020-11-03,OH,8933
2012-11-06,OK,1947
2014-11-04,OK,1958
2016-11-08,OK,1948
2018-11-06,OK,1943
2020-11-03,OK,1938
2012-11-06,PA,9033
2014-11-04,PA,9079
2016-11-08,PA,9160
2018-11-06,PA,9156
2020-11-03,PA,9235
2012-11-06,RI,492
2014-11-04,RI,459
2016-11-08,RI,499
2018-11-06,RI,461
2020-11-03,RI,500
2012-11-06,SC,2179
2014-11-04,SC,2248
2016-11-08,SC,2235
2018-11-06,SC,2247
2020-11-03,SC,2302
2012-11-06,SD,724
2014-11-04,SD,734
2016-11-08,SD,497
2018-11-06,SD,715
2020-11-03,TX,7550
2020-11-03,UT,116
2012-11-06,VT,265
2014-11-04,VT,265
2016-11-08,VT,260
2018-11-06,VT,265
2020-11-03,VT,261
2012-11-06,VA,2418
2014-11-04,VA,2432
2016-11-08,VA,2411
2018-11-06,VA,2433
2020-11-03,VA,2485
2012-11-06,WV,1860
2014-11-04,WV,1816
2016-11-08,WV,1759
2018-11-06,WV,1759
2020-11-03,WV,1729
2012-11-06,WI,6587
2014-11-04,WI,6765
2016-11-08,WI,6865
2018-11-06,WI,6995
2020-11-03,WI,7092
