state,election_date,count,difference
CT,"[#object[java.time.LocalDate 0x3112f8cb ""2012-11-06""] #object[java.time.LocalDate 0x7cbd11f0 ""2020-11-03""]]",[773 747],-0.03363518758085382
NH,"[#object[java.time.LocalDate 0x1b22c1bf ""2012-11-06""] #object[java.time.LocalDate 0x52affffa ""2020-11-03""]]",[312 339],0.08653846153846154
ME,"[#object[java.time.LocalDate 0x745d91c4 ""2012-11-06""] #object[java.time.LocalDate 0x607b2c2e ""2020-11-03""]]",[580 630],0.08620689655172414
IL,"[#object[java.time.LocalDate 0x6d5926a7 ""2012-11-06""] #object[java.time.LocalDate 0x40a444d9 ""2020-11-03""]]",[11827 10013],-0.1533778642090133
NC,"[#object[java.time.LocalDate 0x586f2eb8 ""2012-11-06""] #object[java.time.LocalDate 0x614c63c7 ""2020-11-03""]]",[2756 2662],-0.03410740203193033
MD,"[#object[java.time.LocalDate 0x45041d57 ""2012-11-06""] #object[java.time.LocalDate 0x27e41ba2 ""2020-11-03""]]",[1934 321],-0.8340227507755946
ND,"[#object[java.time.LocalDate 0x6dfeb08 ""2012-11-06""] #object[java.time.LocalDate 0x48fe24f ""2020-11-03""]]",[416 663],0.59375
AK,"[#object[java.time.LocalDate 0x6104a92c ""2012-11-06""] #object[java.time.LocalDate 0x663a97a5 ""2020-11-03""]]",[396 441],0.1136363636363636
OH,"[#object[java.time.LocalDate 0x1f44b7c1 ""2012-11-06""] #object[java.time.LocalDate 0x64a2a3fc ""2020-11-03""]]",[9318 8933],-0.04131787937325606
MA,"[#object[java.time.LocalDate 0x20ab3b8d ""2012-11-06""] #object[java.time.LocalDate 0x129e1782 ""2020-11-03""]]",[2175 2173],-9.195402298850575E-4
OK,"[#object[java.time.LocalDate 0x28de50af ""2012-11-06""] #object[java.time.LocalDate 0x5992bb0b ""2020-11-03""]]",[1947 1938],-0.004622496147919877
IN,"[#object[java.time.LocalDate 0x201c94e7 ""2012-11-06""] #object[java.time.LocalDate 0x42dca561 ""2020-11-03""]]",[3725 1944],-0.4781208053691275
PA,"[#object[java.time.LocalDate 0x18dddebd ""2012-11-06""] #object[java.time.LocalDate 0x545b744e ""2020-11-03""]]",[9033 9235],0.02236244879884867
MI,"[#object[java.time.LocalDate 0x10a4798e ""2012-11-06""] #object[java.time.LocalDate 0x37f43156 ""2020-11-03""]]",[4850 4750],-0.02061855670103093
RI,"[#object[java.time.LocalDate 0x412a2923 ""2012-11-06""] #object[java.time.LocalDate 0x4edccc4c ""2020-11-03""]]",[492 500],0.01626016260162602
DE,"[#object[java.time.LocalDate 0x7d07b410 ""2012-11-06""] #object[java.time.LocalDate 0x6bef4467 ""2020-11-03""]]",[432 434],0.00462962962962963
SC,"[#object[java.time.LocalDate 0x7b1c0b08 ""2012-11-06""] #object[java.time.LocalDate 0x538a168b ""2020-11-03""]]",[2179 2302],0.05644791188618632
IA,"[#object[java.time.LocalDate 0x136d8fde ""2012-11-06""] #object[java.time.LocalDate 0x2303da8 ""2020-11-03""]]",[1688 1681],-0.004146919431279621
AR,"[#object[java.time.LocalDate 0x19ef22ad ""2012-11-06""] #object[java.time.LocalDate 0x1ad25155 ""2020-11-03""]]",[2536 967],-0.6186908517350158
VT,"[#object[java.time.LocalDate 0x65be3eae ""2012-11-06""] #object[java.time.LocalDate 0x666092cc ""2020-11-03""]]",[265 261],-0.01509433962264151
MT,"[#object[java.time.LocalDate 0x6fa2ee7 ""2012-11-06""] #object[java.time.LocalDate 0xe2a8f94 ""2020-11-03""]]",[793 674],-0.150063051702396
VA,"[#object[java.time.LocalDate 0x1af59bb1 ""2012-11-06""] #object[java.time.LocalDate 0x78619cd1 ""2020-11-03""]]",[2418 2485],0.02770885028949545
WV,"[#object[java.time.LocalDate 0x2f3b082c ""2012-11-06""] #object[java.time.LocalDate 0x75b76470 ""2020-11-03""]]",[1860 1729],-0.07043010752688172
NE,"[#object[java.time.LocalDate 0x43295164 ""2012-11-06""] #object[java.time.LocalDate 0x37dadac4 ""2020-11-03""]]",[1143 982],-0.1408573928258968
WI,"[#object[java.time.LocalDate 0x40d7de7b ""2012-11-06""] #object[java.time.LocalDate 0xe8db6f5 ""2020-11-03""]]",[6587 7092],0.07666616061940185
LA,"[#object[java.time.LocalDate 0x7a66431 ""2012-11-06""] #object[java.time.LocalDate 0x66cb82fb ""2020-11-03""]]",[4269 3934],-0.07847271023658937
