Age,SpendingCelebrating,Category,Percentage
18-24,51,Candy,70
25-34,40,Candy,62
35-44,31,Candy,58
45-54,19,Candy,60
55-64,18,Candy,50
65+,13,Candy,42
18-24,51,Flowers,50
25-34,40,Flowers,44
35-44,31,Flowers,41
45-54,19,Flowers,37
55-64,18,Flowers,32
65+,13,Flowers,25
18-24,51,Jewelry,33
25-34,40,Jewelry,34
35-44,31,Jewelry,29
45-54,19,Jewelry,20
55-64,18,Jewelry,13
65+,13,Jewelry,8
18-24,51,GreetingCards,33
25-34,40,GreetingCards,33
35-44,31,GreetingCards,42
45-54,19,GreetingCards,42
55-64,18,GreetingCards,43
65+,13,GreetingCards,44
18-24,51,EveningOut,41
25-34,40,EveningOut,37
35-44,31,EveningOut,30
45-54,19,EveningOut,31
55-64,18,EveningOut,29
65+,13,EveningOut,24
18-24,51,Clothing,33
25-34,40,Clothing,27
35-44,31,Clothing,26
45-54,19,Clothing,20
55-64,18,Clothing,19
65+,13,Clothing,12
18-24,51,GiftCards,23
25-34,40,GiftCards,19
35-44,31,GiftCards,22
45-54,19,GiftCards,23
55-64,18,GiftCards,20
65+,13,GiftCards,20
